,sgName,ABL_Plasmid_1,ABL_Plasmid_2,K562_ABE_1,K562_ABE_2
2496,BCRABL_94,7822,10358,4582,4130
2497,BCRABL_525,3088,4021,1491,1279
2498,BCRABL_2197,7966,10484,4350,4554
2499,BCRABL_2850,3745,5020,1709,1571
2500,BCRABL_3032,2524,3340,1566,1373
2501,BCRABL_2492,607,756,424,392
2502,BCRABL_926,2260,3104,1904,1588
2503,BCRABL_3028,2899,3790,1833,1395
2504,BCRABL_2694,4417,5953,2764,2484
2505,BCRABL_1855,185,299,110,99
2506,BCRABL_2699,6472,8252,3019,3043
2507,BCRABL_1566,1795,2370,1105,1046
2508,BCRABL_314,248,321,117,83
2509,BCRABL_1546,2598,3648,1858,1638
2510,BCRABL_366,1256,1684,803,667
2511,BCRABL_2627,1970,2630,1293,1180
2512,BCRABL_1991,2572,3402,431,388
2513,BCRABL_487,963,1302,478,540
2514,BCRABL_1252,1831,2476,1034,1100
2515,BCRABL_1508,795,1096,660,450
2516,BCRABL_3079,2482,3418,1706,1411
2517,BCRABL_1336,1252,1656,859,753
2518,BCRABL_199,2002,2650,1010,778
2519,BCRABL_2230,4491,5858,2302,2281
2520,BCRABL_800,3310,4375,1693,1661
2521,BCRABL_1219,14300,18925,7444,6735
2522,BCRABL_1964,5421,7279,3695,3206
2523,BCRABL_2146,276,359,194,212
2524,BCRABL_2366,4623,6356,3052,2507
2525,BCRABL_2701,796,1098,559,519
2526,BCRABL_1489,637,782,421,361
2527,BCRABL_354,352,406,194,234
2528,BCRABL_2853,886,1146,462,460
2529,BCRABL_1777,2547,3233,2016,1743
2530,BCRABL_1221,162,237,148,116
2531,BCRABL_200,2242,2780,909,827
2532,BCRABL_2281,775,1058,510,386
2533,BCRABL_1856,6637,8667,3923,3525
2534,BCRABL_2414,7435,9908,4508,4310
2535,BCRABL_1202,3627,4726,586,550
2536,BCRABL_2215,961,1274,706,529
2537,BCRABL_1632,11530,15570,5681,5261
2538,BCRABL_240,2902,3749,1572,1388
2539,BCRABL_2698,3380,4536,1941,1680
2540,BCRABL_851,584,814,394,333
2541,BCRABL_2034,2780,3752,1612,1634
2542,BCRABL_1120,2872,3856,1895,1628
2543,BCRABL_773,9065,12442,4055,3627
2544,BCRABL_1780,2991,4058,1983,1862
2545,BCRABL_2717,947,1155,515,466
2546,BCRABL_1572,4134,5357,2851,2278
2547,BCRABL_123,10382,14198,6767,5894
2548,BCRABL_2147,410,486,230,208
2549,BCRABL_2115,722,989,429,470
2550,BCRABL_2393,385,523,191,237
2551,BCRABL_249,6124,8104,3229,2822
2552,BCRABL_2122,983,1322,568,613
2553,BCRABL_1488,6746,9102,4501,4385
2554,BCRABL_2301,3755,5125,2003,1862
2555,BCRABL_1339,749,966,551,558
2556,BCRABL_3128,4274,5851,2490,2244
2557,BCRABL_2390,1577,1973,934,823
2558,BCRABL_2754,1843,2293,1126,1009
2559,BCRABL_2854,4077,5345,2490,2194
2560,BCRABL_1825,1808,2481,1491,1335
2561,BCRABL_2391,1432,1884,753,645
2562,BCRABL_1960,507,721,307,357
2563,BCRABL_2925,1129,1387,731,572
2564,BCRABL_2665,72,102,33,48
2565,BCRABL_2372,6823,9121,3494,3212
2566,BCRABL_1462,2475,3322,1629,1705
2567,BCRABL_1068,1129,1534,886,744
2568,BCRABL_2702,6514,8521,3512,3281
2569,BCRABL_1331,2718,3635,985,781
2570,BCRABL_847,1967,2618,1106,1201
2571,BCRABL_2630,2307,3027,1516,1347
2572,BCRABL_120,10205,13879,5823,5352
2573,BCRABL_478,2046,2599,991,1092
2574,BCRABL_2735,8180,11473,4733,4118
2575,BCRABL_3130,6578,8999,3993,3684
2576,BCRABL_794,2289,3254,1297,1061
2577,BCRABL_2214,4357,5861,2687,2695
2578,BCRABL_1836,528,719,307,355
2579,BCRABL_3064,8812,11879,5623,5033
2580,BCRABL_1789,789,1090,520,500
2581,BCRABL_609,1085,1241,586,521
2582,BCRABL_2144,337,480,163,197
2583,BCRABL_1350,3748,5023,2178,2032
2584,BCRABL_1174,2137,2728,1191,1203
2585,BCRABL_1248,2169,2882,1412,1275
2586,BCRABL_1349,2812,3794,1562,1634
2587,BCRABL_2475,835,1301,509,512
2588,BCRABL_2908,3417,4418,2001,1882
2589,BCRABL_1175,1290,1803,800,763
2590,BCRABL_2036,778,1041,470,425
2591,BCRABL_2370,1802,2547,1148,926
2592,BCRABL_848,780,1089,487,466
2593,BCRABL_2549,378,479,295,252
2594,BCRABL_2808,1167,1538,509,547
2595,BCRABL_1173,1671,2241,922,923
2596,BCRABL_1936,1481,1899,1038,904
2597,BCRABL_3116,3063,4245,917,894
2598,BCRABL_2973,5865,7470,3134,2885
2599,BCRABL_2877,2073,2797,1107,968
2600,BCRABL_852,638,805,418,369
2601,BCRABL_1439,603,797,404,455
2602,BCRABL_2386,887,1216,680,389
2603,BCRABL_1177,1213,1570,708,485
2604,BCRABL_2679,948,1329,606,509
2605,BCRABL_2175,1290,1754,811,810
2606,BCRABL_2581,3947,5290,2457,2293
2607,BCRABL_76,1006,1381,587,514
2608,BCRABL_2732,1357,1975,793,919
2609,BCRABL_2693,3014,4265,2226,2047
2610,BCRABL_2188,1713,2175,966,890
2611,BCRABL_2542,3015,4017,1681,1521
2612,BCRABL_1440,12095,16967,9080,7963
2613,BCRABL_2550,407,491,273,234
2614,BCRABL_1664,447,564,211,165
2615,BCRABL_866,3553,4802,2097,1729
2616,BCRABL_623,1241,1733,680,586
2617,BCRABL_2300,2549,3278,1371,1031
2618,BCRABL_433,2093,2834,959,991
2619,BCRABL_1316,482,635,358,276
2620,BCRABL_2664,4703,6275,2757,2564
2621,BCRABL_1323,2600,3453,1659,1482
2622,BCRABL_2663,4008,5383,2334,2133
2623,BCRABL_895,514,696,361,379
2624,BCRABL_589,3406,4502,2390,1938
2625,BCRABL_858,3550,4797,2354,2221
2626,BCRABL_2672,2329,3237,1750,1586
2627,BCRABL_2168,4142,5715,2872,2414
2628,BCRABL_1124,744,1042,441,476
2629,BCRABL_2946,1122,1578,590,623
2630,BCRABL_2385,1660,1998,958,898
2631,BCRABL_1600,471,692,351,333
2632,BCRABL_1093,1585,2245,961,1067
2633,BCRABL_535,2837,3835,1958,1610
2634,BCRABL_3024,4389,5860,2562,2506
2635,BCRABL_1577,2518,3277,1850,1787
2636,BCRABL_2792,351,488,199,284
2637,BCRABL_424,949,1285,629,521
2638,BCRABL_532,2078,2843,1387,1123
2639,BCRABL_2869,3497,4689,1986,2093
2640,BCRABL_930,4512,5824,2936,2336
2641,BCRABL_1125,8394,11476,5377,5109
2642,BCRABL_2628,465,641,264,292
2643,BCRABL_3035,758,944,483,358
2644,BCRABL_2873,8439,10959,4033,3849
2645,BCRABL_533,1690,2274,1159,1095
2646,BCRABL_2814,24,50,16,20
2647,BCRABL_1344,4618,6108,3139,2970
2648,BCRABL_2174,5930,7643,2927,2688
2649,BCRABL_1874,2350,3302,1571,1461
2650,BCRABL_1841,6648,8989,3373,2937
2651,BCRABL_2124,468,632,309,286
2652,BCRABL_2647,3406,4505,2166,1917
2653,BCRABL_2187,2925,3950,1994,1617
2654,BCRABL_987,828,1048,404,440
2655,BCRABL_1871,355,492,192,246
2656,BCRABL_1663,6155,8422,3450,3067
2657,BCRABL_619,4425,5837,2331,2050
2658,BCRABL_1051,1573,1971,1301,1085
2659,BCRABL_830,2488,3377,1438,1430
2660,BCRABL_233,4094,5332,2276,2154
2661,BCRABL_193,615,836,285,240
2662,BCRABL_1334,2787,3710,1158,1036
2663,BCRABL_1168,6023,7837,3277,3121
2664,BCRABL_1393,12291,16818,8179,7461
2665,BCRABL_1986,4030,5071,2250,2171
2666,BCRABL_2114,539,796,324,334
2667,BCRABL_2338,1045,1407,558,609
2668,BCRABL_2283,711,1022,464,372
2669,BCRABL_2654,2362,3183,1420,1266
2670,BCRABL_1829,471,705,236,314
2671,BCRABL_2216,8464,11484,5168,4387
2672,BCRABL_973,1280,1639,829,810
2673,BCRABL_1169,773,995,490,511
2674,BCRABL_1017,1157,1393,667,613
2675,BCRABL_3011,5553,7582,3063,2866
2676,BCRABL_3062,11390,15243,6850,6185
2677,BCRABL_1387,624,853,455,407
2678,BCRABL_537,1311,1680,678,748
2679,BCRABL_1367,582,781,177,181
2680,BCRABL_2617,863,1157,453,504
2681,BCRABL_2381,2436,3234,1608,1437
2682,BCRABL_1398,1121,1587,764,596
2683,BCRABL_310,811,1098,395,330
2684,BCRABL_1804,1337,1781,916,837
2685,BCRABL_1375,1598,2164,990,915
2686,BCRABL_236,1877,2438,915,902
2687,BCRABL_2586,6662,9164,4616,4515
2688,BCRABL_929,1322,1699,907,909
2689,BCRABL_1373,1846,2646,1134,919
2690,BCRABL_536,1709,2349,1182,1241
2691,BCRABL_2601,1065,1478,835,855
2692,BCRABL_994,3298,4443,2203,1969
2693,BCRABL_1491,1884,2495,995,933
2694,BCRABL_1299,8417,11772,4774,4220
2695,BCRABL_1665,13100,17723,7464,6775
2696,BCRABL_970,4204,5446,2771,2604
2697,BCRABL_2807,624,820,264,406
2698,BCRABL_2753,592,771,396,460
2699,BCRABL_2551,461,613,277,247
2700,BCRABL_2368,7529,10204,4362,4238
2701,BCRABL_3065,393,494,272,215
2702,BCRABL_1394,16010,22613,9173,8308
2703,BCRABL_92,1291,1665,418,450
2704,BCRABL_1932,1717,2301,1075,1068
2705,BCRABL_2369,1908,2597,1054,1196
2706,BCRABL_3132,1055,1423,902,584
2707,BCRABL_2934,764,990,541,485
2708,BCRABL_3118,4640,6206,3160,3119
2709,BCRABL_2851,2204,2914,1565,1348
2710,BCRABL_2196,1633,2261,1162,1087
2711,BCRABL_1105,11372,15696,6607,5881
2712,BCRABL_3112,2535,3435,1491,1485
2713,BCRABL_2600,3041,4241,2130,1991
2714,BCRABL_2667,6524,9060,3887,3758
2715,BCRABL_365,1641,2125,829,1022
2716,BCRABL_1564,1365,1835,991,998
2717,BCRABL_2614,300,382,154,127
2718,BCRABL_1059,946,1337,548,720
